番号,21,
名前,flower,
呼び名,flower,
基礎,HP,5000
基礎,MP,3000
基礎,EP,12000
基礎,CP,1000
素質,処女,
素質,気丈,
素質,大人しい,
素質,ツンデレ,
素質,両刀,
素質,Ｂ感度,1,
素質,貧乳,
相性,19,150 ;ヒメ
相性,20,150 ;ミコト
能力,戦闘素質,45
能力,速度,90
;性格(1) -40以下:超弱気 -20以下:弱気 19以下:普通 39以下:強気 40以上:超強気
フラグ,12,20
;性格(2) (1 おせっかい 2 おてんば 3 がんこもの 4 がんばりや 5 きれもの 6 くろうにん 7 しあわせもの 8 セクシーギャル 9 ぬけめがない 10 ねっけつかん 11 のんきもの 12 ひっこみじあん 13 やさしいひと 14 わがまま 15 ふつう)
フラグ,100,5
;口調 (0:ですね 1:だね 2:だな 3:だわ 4:ですわ 5:や 6:だぜ 7:だぞ 8:なのだ)
フラグ,108,3

;キャラ情報(CSTR)
CSTR,二つ名,AITalk
CSTR,登場名,flower
CSTR,ローマ字,flower
 
;呼び方リスト(CSTR)
CSTR,基本敬称,基本_呼び名
CSTR,呼び方リスト,月読ショウタ_ショウタ/月読アイ_アイちゃん/弦巻マキ_弦巻/結月ゆかり_ゆかり/東北ずん子_ずん子さん/琴葉茜_茜/琴葉葵_葵/水奈瀬コウ_コウさん/京町セイカ_セイカ/東北きりたん_きりたん/紲星あかり_あかり/東北イタコ_イタコ/桜乃そら_そらさん/役ついな_ついなちゃん/伊織弓鶴_弓鶴/小春六花_六花/さとうささら_ささら/すずきつづみ_つづみ/タカハシ_タカハシ/ＯＮＥ_ＯＮＥ/ＩＡ_ＩＡ/ギャラ子_ギャラ子さん/音街ウナ_ウナちゃん/鳴花ヒメ_ヒメ氏/鳴花ミコト_ミコト氏/あなた_マスター
